,Title,Auction Type,Artist Name #1,Artist Name #2,Instagram Page,Instagram Page 2,Instagram Followers,Instagram Followers 2,Avg Likes,Avg Likes2,Spotify Monthly Listeners #1,Spotify Page #2,Spotify Monthly Listeners #2,SoundCloud Page,SoundCloud Followers,SoundCloud Page #2,SoundCloud Followers #2,YouTube Page,YouTube Subscribers,YouTube Total Views,Price,12 Month Royalties,,
104,Akon’s 3x Platinum Single “Don’t Matter”,Music,Akon,,akon,,7555159,nan,48853,nan,,,,Akon,141809,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,24250,16834,,
105,Publishing Royalties: Multi-Platinum Trey Songz,Music,Trey Songz,Mnicki Minaj,treysongz,nickiminaj,12758161,144017423,135312,2867782,,,,Trey Songz,139046,,,https://www.youtube.com/user/NickiMinajTelevision,,8411073936,150500,1131,,
106,Streaming Hip-Hop Performance Royalties,Music,Reo Cragun,Gunplay,reocragun,itzdonlogan,57491,328435,1436,1766,,,,Reo Cragun,15524,Gunplay,4337,https://www.youtube.com/user/GunPlayRu,,895111,6750,15299,,
107,Hip-Hop Publishing Featuring Ca$h Out,Music,Ca$h Out,SahBabii,1cashout,,379988,nan,3215,nan,,,,Ca$h Out,52135,SahBabii,119005,https://www.youtube.com/user/SahBabiiTv,,84987146,71500,9548,,
108,Hit K-Pop R&B and Pop Royalties,Music,Charlie Wilson,Girl’s Day,,dte_girlsday,,43389,nan,4224,,,,Charlie Wilson,10473,Girl’s Day,1735,https://www.youtube.com/user/girlsday5,,242262685,33250,1949,,
109,Hip-Hop Royalties Featuring Kevin Gates,Music,Kevin Gates,Joey Bada$$,iamkevingates,joeybadass,8910492,2096140,67417,91923,,,,Kevin Gates,743031,Joey Bada$$,160653,https://www.youtube.com/channel/UCG8R0ZMHBkRzBT1DWK9wT5w,,32281324,10300,10093,,
110,Island Reggae Performance Royalties,Music,Common Kings,Bo Napoleon,commonkings,,249027,nan,2262,nan,,,,Common Kings,8895,Bo Napoleon,239,https://www.youtube.com/channel/UCK35FBDrKUfnBC6ruerWEYQ,,821749,51000,22489,,
111,TV/Film Music Royalties + Iconic Folk,Movie,,,,,,nan,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,115250,70912,,
112,Publishing From Sean Paul Jason Derulo & Pitbull,Music,Sean Paul,Jason Derulo,duttypaul,jasonderulo,1385641,7830652,16091,237092,,,,Sean Paul,57937,Jason Derulo,1088304,https://www.youtube.com/user/JasonDerulo,,7754961151,265000,1523,,
113,Alt-Rock Performance Royalties: Anarbor,Music,Anarbor,,anarbor,,16098,nan,802,nan,,,,Anarbor,2042,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,14000,8583,,
114,Multi-Platinum Trey Songz Royalties,Music,Trey Songz,Nicki Minaj,treysongz,nickiminaj,12758165,144017437,135312,2867782,,,,Trey Songz,139046,Nicki Minaj,555794,https://www.youtube.com/user/NickiMinajTelevision,,8411073936,64500,1197,,
115,Christina Perri Performance Royalties,Music,Christina Perri,Mount Holly,christinaperri,,1056448,nan,nan,nan,,,,Christina Perri,12174,Mount Holly,1139,https://www.youtube.com/channel/UCfpV7G8zEZUORib3IrjHePQ,,68918,6200,4285,,
116,Performance Royalties: T.I. Meek Mill & Eminem,Music,T.I.,Bad Meets Evil,troubleman31,,13627448,nan,57052,nan,,,,T.I.,112511,Bad Meets Evil,4262,Nan,,,13600,81518,,
117,Publishing: Jason Derulo Pitbull Camila Cabello,Music,Jason Derulo,Pitbull,jasonderulo,pitbull,7830346,8418568,309000,78734,,,,Jason Derulo,1088189,Pitbull,383851,https://www.youtube.com/user/PitbullMusic,,10312857677,336000,7524,,
118,Mac Miller Performance Royalties,Music,Mac Miller,Wiz Khalifa,,wizkhalifa,,32870106,nan,334583,,,,Mac Miller,663335,Wiz Khalifa,1201279,https://www.youtube.com/user/taylorgangent,,11421351747,46500,8629,,
119,Flogging Molly — Songwriter Royalties,Music,Flogging Molly,,floggingmolly,,144176,nan,3666,nan,,,,Flogging Molly,33365,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,75600,1938,,
120,R&B & K-Pop Royalties,Music,Jacob Banks,EXO,mrjacobbanks,weareone.exo,168315,9265498,9940,726713,,,,Jacob Banks,34174,EXO,12089,https://www.youtube.com/user/EXOK,,425743467,11800,1349,,
121,Hip-Hop Performance Royalties From Tinashe,Music,Tinashe,T-Pain,tinashenow,tpain,3193279,2621460,53209,13064,,,,Tinashe,165260,T-Pain,87895,https://www.youtube.com/channel/UCwff7OoSHp3el6GqnSwcSdA,,1396743788,11650,19208,,
122,Platinum Performance Royalties: Nicki Minaj & Rihanna,Music,Nicki Minaj,Rihanna,nickiminaj,badgalriri,143891167,99580692,2864880,4553202,,,,Nicki Minaj,555212,Rihanna,1933055,https://www.youtube.com/user/rihanna,,17940617432,90000,1547,,
123,Performance Royalties: Meek Mill’s “Believe It”,Music,Meek Mill,,meekmill,,21523012,nan,172134,nan,,,,Meek Mill,510547,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,13400,18884,,
124,Streaming-Driven EDM: BONNIE X CLYDE,Music,BONNIE X CLYDE,,bonniexclyde,,105422,nan,3678,nan,,,,BONNIE X CLYDE,62908,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,85000,96101,,
125,Sean Paul Jason Derulo + Pitbull — Songwriter Royalties,Music,Sean Paul,Jason Derulo,duttypaul,jasonderulo,1385641,7830650,16091,237093,,,,Sean Paul,57937,Jason Derulo,1088304,https://www.youtube.com/user/JasonDerulo,,7754961151,299000,5368,,
126,Country From Kira Isabella & Billy Currington,Music,Kira Isabella,Billy Currington,,,,nan,nan,nan,,,,Kira Isabella,397,Billy Currington,7572,https://www.youtube.com/user/billycurrington,,494162240,21000,77260,,
127,Pop From Jason Derulo Pitbull Camila Cabello,Music,Jason Derulo,Pitbull,jasonderulo,pitbull,7830346,8418568,309002,78734,,,,Jason Derulo,1088189,Pitbull,383851,https://www.youtube.com/user/PitbullMusic,,10312857677,275000,7913,,
128,Anderson .Paak's Grammy-Winning “Bubblin”,Music,Anderson .Paak,PRhyme,anderson._paak,prhyme_official,2498006,23263,217278,1472,,,,Anderson .Paak,258597,PRhyme,12917,https://www.youtube.com/channel/UC5-auGM_E8Ge549c89lK7bA,,8559572,20900,4752,,
129,"Hip-Hop Royalties: ""Monster"" By 21 Savage",Music,21 Savage,,21savage,,12457425,nan,474133,nan,,,,21 Savage,1187844,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,16250,25229,,
130,Tinie Tempah’s “Written In The Stars”,Music,Tinnie Tempah,Kelly Rowland,tiniegram,kellyrowland,765707,11351327,6308,218431,,,,Tinnie Tempah,5,Kelly Rowland,5719709,https://www.youtube.com/channel/UCZSaQhZP1q2LwzIh5XLwMew,,555327009,47000,15745,,
131,K-Pop Publishing Featuring EXO and TVXQ,Music,EXO,TVXQ,weareone.exo,tvxq.official,9263536,753553,726264,105637,,,,EXO,12049,TVXQ,547,https://www.youtube.com/user/TVXQ,,29682809,61100,3448,,
132,Hip-Hop Royalties: DaniLeigh’s “Lil Bebe”,Music,DaniLeigh,Lil Baby,iamdanileigh,lilbaby,3529706,16085222,297884,665663,,,,DaniLeigh,67630,Lil Baby,923923,https://www.youtube.com/channel/UCVS88tG_NYgxF6Udnx2815Q,,4588864746,40500,7282,,
133,Global Pop From Sigala,Music,Sigala,Ella Eyre,sigala,ellaeyre,121636,476068,2302,11414,,,,Sigala,53350,Ella Eyre,5577438,https://www.youtube.com/user/EllaEyre,,160610254,16450,2860,,
134,Streaming-Driven Hip-Hop From Cam Meekins,Music,Cam Meekins,,cammeekins,,27769,nan,546,nan,,,,Cam Meekins,50325,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,34750,5748,,
135,R&B/Gospel Catalog Featuring G.I.,Music,G.I.,,,,,nan,nan,nan,,,,G.I.,2366,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,8500,43828,,
136,Single-Song Hip-Hop Publishing Royalties,Music,Lil Donald,,lildonald,,224013,nan,1879,nan,,,,Lil Donald,24736,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,40000,1988,,
137,Publishing Royalties: K-Pop & J-Pop Catalog,Music,The Rampage from Exile Tribe,Exo-CBX,the_rampage_official,,580048,nan,41435,nan,,,,The Rampage from Exile Tribe,132,Exo-CBX,680,https://www.youtube.com/channel/UCpKIh2uEVHqU7nfXCP2U-3A,,9372725,26500,3636,,
138,Kygo’s Platinum Hit “Stole The Show”,Music,Kygo,Parson James,kygomusic,iamparsonjames,4075901,41564,81192,853,,,,Kygo,1493702,Parson James,3547,https://www.youtube.com/channel/UCi1gcWM-Fs2Ln0DcGkC6s0w,,26820275,150000,4412,,
139,15-Year-Old Growing Hip-Hop Catalog,Music,,,,,,nan,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,11200,3344,,
140,"Jill Scott's 2004 Hit Single ""Whatever""",Music,Jill Scott,,missjillscott,,2829598,nan,49180,nan,,,,Jill Scott,25922,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,25100,2793,,
141,Streaming-Driven Alternative Pop/Rock,Music,Set It Off,,,,,nan,nan,nan,,,,Set It Off,11782,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,20400,8343,,
142,Publishing Royalties: 19-Year-Old R&B Catalog,Music,Sisqo,Salt-N-Pepa,sisqo,saltnpepaofficial,207259,176926,3754,4323,,,,Sisqo,2225,Salt-N-Pepa,3284,https://www.youtube.com/channel/UCYHaIph93Dk_mGmozCCXdrg,,281297569,31250,47088,,
143,Royalties From Jill Scott’s “Whatever”,Music,Jill Scott,,missjillscott,,2829598,nan,49180,nan,,,,Jill Scott,25922,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,20000,27964,,
144,Joey Bada$$ Songwriting Royalties,Music,Joey Bada$$,,joeybadass,,2094675,nan,91772,nan,,,,Joey Bada$$,160475,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,26000,9035,,
145,"Dirty Dancing’s ""(I've Had) The Time of My Life""",Music,,,,,,nan,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,493500,2979,,
146,Consistent Pop Catalog With Global Reach,Music,,,,,,nan,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,120000,132559,,
147,Robert Miles’ Platinum Single “Children”,Music,,,,,,nan,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,119100,29564,,
148,"Royalties from Flo Rida's ""Whistle"" + More",Music,,,,,,nan,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,16400,14799,,
149,Adventure Club: EDM Publishing & Sound Recording,Music,,,,,,nan,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,363000,5861,,
150,Royalties from Childish Gambino Vince Staples + More,Music,Childish Gambino Vince Staples ,,,,,nan,nan,nan,,,,Childish Gambino Vince Staples,213,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,102000,38451,,
151,Sound Recording Royalties: Cardi B’s “Bodak Yellow”,Music,Cardi B ,,iamcardib,,97945976,nan,4338548,nan,,,,Cardi B,667110,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,54500,31873,,
152,Demi Lovato’s “Concentrate” & Other Pop Hits,Music,Demi Lovato ,,ddlovato,,108560868,nan,295233,nan,,,,Demi Lovato,115010,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,30500,123203,,
153,Anderson .Paak’s Grammy-Winning Single “Bubblin”,Music,Anderson .Paak ,,anderson._paak,,2498005,nan,217278,nan,,,,Anderson .Paak,258597,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,64000,14520,,
154,R&B From Usher Mary J. Blige Chris Brown,Music,Usher Mary J.,Chris Brown ,,chrisbrownofficial,,85884578,nan,168776,,,,Usher Mary J.,27420,Chris Brown,6278257,https://www.youtube.com/user/ChrisBrownTV,,11993143202,112250,8320,,
155,Publishing Royalties: Sigala’s “Came Here For Love”,Music,Sigala ,,sigala,,121636,nan,2302,nan,,,,Sigala,53350,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,240000,66903,,
156,K-Pop & J-Pop Royalties,Music,EXO ,TWICE ,weareone.exo,twicetagram,9263536,18965734,726265,1398907,,,,EXO,12049,TWICE,119518,https://www.youtube.com/channel/UCzgxx_DM2Dcb9Y1spb9mUJA,,2003911928,33500,3764,,
157,Halsey's Platinum Hit “New Americana”,Music,Halsey,,iamhalsey,,24899112,nan,1475295,nan,,,,Halsey,234761,,938,https://www.youtube.com/user/5o5aization,,56400,79200,3133,,
158,"5x Platinum “Gucci Gang"" — Songwriter Royalties",Music,Lil Pump ,,lilpump,,16151188,nan,720792,nan,,,,Lil Pump,1403037,,938,https://www.youtube.com/user/5o5aization,,56400,168000,107557,,
159,Juliana O’Neal: Decade-Old Latin Hit “Estupido”,Music,Juliana O'Neal ,,mambodejuliana,,578511,nan,12610,nan,,,,Juliana O'Neal,14,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,27200,15787,,
160,Jennifer Lopez Ricky Martin & Wisin + More,Music,Jennifer Lopez ,Ricky Martin ,jlo,ricky_martin,162181500,15367333,984836,151867,,,,Jennifer Lopez,75452,Ricky Martin,9428,https://www.youtube.com/channel/UCGkkG-VYVXenlhVIqjH-9oA,,5865436354,36200,7838,,
161,Lil Uzi Vert + Playboi Carti Royalties,Music,Lil Uzi Vert ,PLayboi Carti ,liluzivert,playboicarti,15082820,6339440,1561912,1212421,,,,Lil Uzi Vert,2593376,PLayboi Carti,984514,https://www.youtube.com/channel/UC652oRUvX1onwrrZ8ADJRPw,,682451883,240000,6488,,
162,G.I. Gospel Hit “I’m Ready” & More,Music,G.I Gospel ,,,,,nan,nan,nan,,,,G.I Gospel,2366,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,39800,69627,,
163,Adventure Club: Streaming-Driven EDM,Music,Adventure Club, Sara Diamond ,,iamsaradiamond,,39435,nan,850,,,,Adventure Club,629688,Sara Diamond,2253,https://www.youtube.com/channel/UCYF8ccH2NakTWD5VHZ3Il6Q,,3776100,43600,13995,,
164,Cardi B & G-Eazy “No Limit” & More,Music,Cardi B ,G Eazy ,iamcardib,g_eazy,97946069,8825331,4338696,157162,,,,Cardi B,667110,G Eazy,1156433,https://www.youtube.com/user/GEazyTV,,4860450452,19150,2035,,
165,Sigala’s “Came Here For Love” & More,Music,Sigala ,,sigala,,121636,nan,2302,nan,,,,Sigala,53350,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,163000,2393,,
166,Soul II Soul’s “Back To Life”,Music,Soul II Soul ,,soul2souluk,,12363,nan,302,nan,,,,Soul II Soul,2887,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,70800,2503,,
167,Guy Sebastian “Like A Drum” + More,Music,Guy Sebastian ,,guysebastian,,480824,nan,8755,nan,,,,Guy Sebastian,679,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,9400,3578,,
168,Migos “First 48” Publishing Royalties,Music,Migos ,,migos,,11836962,nan,69851,nan,,,,Migos,1251560,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,12500,3786,,
169,"Fat Joe Remy Ma Jay-Z “All The Way Up Remix"" + More",Music,Fat Joe ,Jay-Z ,,,,nan,nan,nan,,,,Fat Joe,9877,Jay-Z,40101,https://www.youtube.com/user/jayz,,994457673,16050,46554,,
170,Global Pop Songwriting Royalties,Music,Samir & Viktor ,Shinee ,viktorochsamir,shinee_jp_official,43,860746,11,26197,,,,Samir & Viktor,155,Shinee,9511,https://www.youtube.com/user/SHINee,,171774789,26550,7170,,
171,Sanctus Real’s “Lead Me” & More,Music,Sanctus Real ,,sanctusreal,,70620,nan,387,nan,,,,Sanctus Real,1642,,938,https://www.youtube.com/user/5o5aization,,56400,28900,8370,,
172,Sound Recording Royalties: Gospel Catalog,Catalog ,,,,,,nan,nan,nan,,,,,935,,938,https://www.youtube.com/user/5o5aization,,56400,222500,6924,,
173,Blackbear “I Miss The Old U”,Music,Blackbear ,,blvckbear.idfc,,69,nan,9,nan,,,,Blackbear,508818,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,18700,5826,,
174,EXO “Run This” + J-Pop: Publishing Royalties,Music,EXO ,B.A.P,weareone.exo,,9263536,nan,726266,nan,,,,EXO,12049,B.A.P,1748,https://www.youtube.com/channel/UCJrAMBpZRosiTIGp4dy-sHQ,,6249786,32100,8711,,
175,16-Year Old Growing Swedish Pop Catalog,Catalog ,,,,,,nan,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,28700,44514,,
176,"Coldplay + Beyoncé: ""Hymn For The Weekend”",Music,Coldplay ,Beyonce ,,beyonce,,189590663,nan,3001809,,,,Coldplay,268338,Beyonce,1770804,https://www.youtube.com/user/beyonce,,14086759867,27300,53094,,
177,International Pop/Folk + TV/Film Placements,Music,Andrew Galucki ,,andrewgalucki,,1110,nan,115,nan,,,,Andrew Galucki,111,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,35500,10235,,
178,3X Platinum Global Hit “Gold”,Music,Kiiara,,kiiara,,355645,nan,3900,nan,,,,Kiiara,127343,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,190000,30144,,
179,"""Fresh Prince of Bel-Air” 2Pac Ice Cube + More",Music,2pac ,Ice Cube ,,icecube,,20810414,nan,95143,,,,2pac,329783,Ice Cube,97876,https://www.youtube.com/user/Cubevision,,696389950,318900,13419,,
180,Joe Bonamassa & More: Copyrights + Publishing,Music,Joe Bonamassa ,,joebonamassa,,767214,nan,10298,nan,,,,Joe Bonamassa,12406,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,97000,7057,,
181,"Cardi B's “Bodak Yellow"" & More",Music,Cardi B ,,iamcardib,,97947481,nan,4341132,nan,,,,Cardi B,667110,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,125300,8143,,
182,Catalog Featuring Hip-Hop R&B & Pop,Catalog ,,,,,,nan,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,47100,81394,,
183,"James Otto's ""Just Got Started Lovin' You""",Music,James Ottos,,jamesotto,,15344,nan,361,nan,,,,James Ottos,18,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,38300,66251,,
184,Dwight Yoakam: Copyrights & Publishing Royalties,Music,Dwight Yoakam ,,dwightyoakam,,180362,nan,2203,nan,,,,Dwight Yoakam,13806,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,44800,4399,,
185,Kiiara’s 3X Platinum Hit — Publishing Royalties,Music,Kiirara ,,,,,nan,nan,nan,,,,,,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,353500,1455,,
186,Multi-Platinum Pop Songwriting Royalties,Music,Echosmith ,,echosmith,,493630,nan,4216,nan,,,,Echosmith,31916,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,262000,22938,,
187,Lil’ Kim’s “Crush On You” + Beyoncé & Drake,Music,Lil Kim ,Beyonce ,lilkimthequeenbee,beyonce,3087264,189590691,68484,3001809,,,,Lil Kim,8816,Beyonce,1770804,https://www.youtube.com/user/beyonce,,14086759867,27200,43219,,
188,Zendaya Timbaland and More Songwriting Royalties,Music,Zendaya ,Timbaland ,zendaya,timbaland,99124519,3469029,4927506,9565,,,,Zendaya,10869,Timbaland,66810,https://www.youtube.com/channel/UCC3zgQZssIUMPZEYZWaqvbg,,1631201465,8450,104089,,
189,2X Platinum “My Way” from Fetty Wap,Music,Fetty WAP ,,fettywap1738,,6719243,nan,59176,nan,,,,Fetty WAP,632050,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,62300,6170,,
190,Childish Gambino Vince Staples & More - Publishing Royalties,Music,Childish Gambino ,,childishgambino,,1705,nan,1103,nan,,,,Childish Gambino,1216978,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,107000,130192,,
191,SZA + Rihanna: Publishing Royalties,Music,SZA,Rihanna ,sza,badgalriri,10281554,99580764,1352744,4553220,,,,SZA,82601,Rihanna,1933055,https://www.youtube.com/user/rihanna,,17940617432,330000,14811,,
192,Coldplay & Beyoncé: “Hymn For The Weekend”,Music,Coldplay ,Beyonce ,,beyonce,,189590731,nan,3001810,,,,Coldplay,268338,Beyonce,1770804,https://www.youtube.com/user/beyonce,,14086759867,35600,3939,,
193,Multi-Platinum Pop: Sound Recording Royalties,Music,Echosmith ,,echosmith,,493630,nan,4216,nan,,,,Echosmith,31916,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,400000,13752,,
194,XXXTentacion’s “Dead Inside” & More,Music,XXXTentacion,,,,,nan,nan,nan,,,,XXXTentacion,4581149,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,36400,64630,,
195,Hip-Hop Single From XXXTentacion,Music,XXXTentacion,,,,,nan,nan,nan,,,,XXXTentacion,4581149,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,13400,10811,,
196,Contemporary Christian Catalog,Catalog ,,,,,,nan,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,51500,1514,,
197,Alt-Pop Songwriting Royalties Featuring Echosmith,Music,Ecosmith ,,echosmith,,493630,nan,4216,nan,,,,Ecosmith,459,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,214500,8698,,
198,Growing Streaming Earnings from Hip-Hop,Music,Travis Scott ,XXXTentacion ,travisscott,,41150256,nan,2869102,nan,,,,Travis Scott,1998744,XXXTentacion,4584248,https://www.youtube.com/channel/UCM9r1xn6s30OnlJWb-jc3Sw,,8413548325,37000,5797,,
199,"Publishing Royalties: Drakes' ""Redemption""",Music,Drake,,champagnepapi,,84424419,nan,1248203,nan,,,,Drake,2755813,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,8350,2741,,
200,Consistent Publishing from Grammy-Winning Track “American Boy”,Music,Estelle ,Kanye West ,estelledarlings,kanyewest,438993,5340079,1222,391350,,,,Estelle,130,Kanye West,1119087,https://www.youtube.com/user/kanyewest,,4521587562,50300,27321,,
201,Eric Church’s Country Hit “Sinners Like Me”,Music,Eric Church ,,ericchurchmusic,,1180572,nan,13537,nan,,,,Eric Church,23177,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,30600,5005,,
202,Streaming-Driven New Releases,Music,Bas ,J. Cole ,,realcoleworld,,7115822,nan,728505,,,,Bas,114326,J. Cole,2354237,https://www.youtube.com/user/jcolemusic,,2248720440,9500,2059,,
203,Joe Bonamassa: Publishing Royalties & Copyrights,Music,Joe Bonamassa ,,joebonamassa,,767215,nan,10298,nan,,,,Joe Bonamassa,12409,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,221500,23081,,
204,Country Catalog: Justin Moore & Johnny Reid,Music,Jusin Moore ,Johny Reid ,justincolemoore,johnnyreidofficial,719100,21562,10113,684,,,,Jusin Moore,11,Johny Reid,234,https://www.youtube.com/user/JohnnyReidMusic,,24536584,40000,11755,,
205,Decade-Old Consistent Christian & Pop,Music,Unspoken ,Fransesca Battistelli ,unspokenmusic,francescamusic,102652,308263,765,3684,,,,Unspoken,1669,,,https://www.youtube.com/user/FrancescaBattistelli,,94015124,10200,3350,,
206,Hip-Hop From Kendrick Lamar Nipsey Hussle & More,Music,Kendrick Lamar ,Nipsey Hussle ,kendricklamar,,9362234,nan,524266,nan,,,,Kendrick Lamar,631410,Nipsey Hussle,255892,https://www.youtube.com/channel/UCm1s2VS9BdyXL9FU4a-W_cQ,,1263740191,162000,21168,,
207,Rascal Flatts No. 1 Country Hit “Mayberry”,Music,Rascal Flatts ,,rascalflatts,,276010,nan,1864,nan,,,,Rascal Flatts,12697,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,59700,10634,,
208,T-Pain “Up Down (Do This All Day)”,Music,T Pain,,tpain,,2619821,nan,12997,nan,,,,T Pain,87859,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,16700,6182,,
209,Hip-Hop Hits From Drake & More,Music,Drake,,champagnepapi,,84424466,nan,1248205,nan,,,,Drake,2756377,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,71000,2920,,
210,Publishing Royalties from Streaming-Driven Hip-Hop,Music,Chris Brown ,Smokey Robinson ,chrisbrownofficial,smokeyrobinson,85819888,106970,167688,2527,,,,Chris Brown,6278170,Smokey Robinson,530,https://www.youtube.com/channel/UCW8_krLUqX1EVR_vXD1ml4g,,46017299,106200,8787,,
211,Diverse Catalog: Electronic Rock and Indie,Music,,,,,,nan,nan,nan,,,,,937,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,27000,2371,,
212,Country From Eric Church Trace Adkins & More,Music,Eric Church ,Trace Adkins ,ericchurchmusic,traceadkins,1180572,594207,13537,3710,,,,Eric Church,23177,Trace Adkins,8338,https://www.youtube.com/user/traceadkins,,294550841,24000,6495,,
213,1950s Doo-Wop Song: “At The Hop”,Music,Danny & The Juniors,,,,,nan,nan,nan,,,,Danny & The Juniors,21,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,15200,1168,,
214,Ben & Jerry’s Cherry Garcia: Trademark Royalties,Ice Cream ,,,,,,nan,nan,nan,,,,,937,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,60700,60673,,
215,Streaming-Driven Latin Hip-Hop,Music,Dvice ,,,,,nan,nan,nan,,,,Dvice,6565,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,7750,4328,,
216,Drake's Platinum Track “Furthest Thing”,Music,Drake ,,champagnepapi,,84424504,nan,1248206,nan,,,,Drake,2756377,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,40100,6238,,
217,Streaming-Driven Publishing: J. Cole & More,Music,J. Cole ,,realcoleworld,,7114040,nan,728368,nan,,,,J. Cole,2354011,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,6050,17484,,
218,Growing Royalties: Platinum Hip-Hop and R&B,Music,Chris Brown ,Lil Wayne ,chrisbrownofficial,liltunechi,85819933,13523800,167689,188753,,,,Chris Brown,6278170,Lil Wayne,423830,https://www.youtube.com/user/YMWayneCarter,,4556754344,400000,1301,,
219,Electronic Dance Production & More,Music,Tommy Swindali ,,,,,nan,nan,nan,,,,David Guetta,2383055,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,32600,7501,,
